deltaTheta,June25a,June25b,June25c,June25d,June25e,June26a,June26b,June26c,June26d,June26e,June26f,June26g,June26h,June26i,June26j
-30.841,0.1667,0.13,0.1227,0.117,0.1061,0.0877,0.0796,0.0702,0.0596,0.0482,0.0377,0.0295,0.0228,0.0158,0.0137
-30.526,0.1667,0.1304,0.1227,0.1173,0.1063,0.0878,0.0796,0.0704,0.0596,0.0486,0.0376,0.0298,0.0228,0.0162,0.0141
-30.212,0.1673,0.1306,0.1233,0.1181,0.1067,0.0879,0.0797,0.0703,0.0603,0.0489,0.0375,0.0303,0.0235,0.0156,0.0151
-29.897,0.1688,0.1312,0.1237,0.1185,0.1067,0.0883,0.0803,0.0709,0.0604,0.0488,0.0377,0.0299,0.0231,0.0153,0.0159
-29.582,0.169,0.1313,0.1243,0.119,0.1072,0.0885,0.0804,0.071,0.0607,0.0488,0.0382,0.0299,0.0229,0.0155,0.0159
-29.267,0.1684,0.1315,0.1245,0.1192,0.1076,0.0889,0.0808,0.0714,0.0605,0.0495,0.0382,0.03,0.023,0.0154,0.0164
-28.953,0.1685,0.1323,0.1247,0.1199,0.108,0.0889,0.0807,0.0714,0.0609,0.0496,0.0381,0.0301,0.023,0.0155,0.016
-28.638,0.1694,0.132,0.1255,0.1199,0.1082,0.0892,0.0812,0.0716,0.0613,0.0497,0.0381,0.0303,0.0233,0.0151,0.0157
-28.323,0.1696,0.1324,0.1257,0.1196,0.1087,0.0897,0.0816,0.0723,0.0615,0.0495,0.0384,0.0304,0.0232,0.0155,0.0155
-28.009,0.1704,0.1329,0.1261,0.1183,0.1094,0.0901,0.0819,0.0724,0.0614,0.05,0.0385,0.0305,0.0235,0.0157,0.0158
-27.694,0.1719,0.133,0.1265,0.117,0.1094,0.0902,0.082,0.0726,0.0617,0.0502,0.0382,0.0303,0.0231,0.0154,0.0165
-27.379,0.1724,0.134,0.1271,0.1168,0.1091,0.0904,0.0824,0.0726,0.0625,0.0504,0.0383,0.0308,0.0239,0.0159,0.0161
-27.065,0.1732,0.1347,0.1273,0.1176,0.1085,0.0912,0.0833,0.0734,0.0625,0.0503,0.0387,0.0306,0.0234,0.0156,0.0161
-26.75,0.1741,0.1351,0.1267,0.1209,0.1086,0.0917,0.0834,0.0737,0.0627,0.0504,0.0387,0.0309,0.0236,0.0161,0.0158
-26.435,0.1751,0.1356,0.1247,0.1228,0.1093,0.0918,0.0836,0.0738,0.0627,0.0509,0.0386,0.0306,0.0236,0.0156,0.0161
-26.12,0.1756,0.1364,0.1222,0.1234,0.1106,0.0919,0.0837,0.074,0.0634,0.0513,0.0388,0.031,0.0235,0.0159,0.0164
-25.806,0.1764,0.1372,0.1205,0.1238,0.112,0.0924,0.0842,0.0744,0.0635,0.0513,0.039,0.031,0.0236,0.0155,0.016
-25.491,0.1778,0.1373,0.1219,0.1241,0.1126,0.0929,0.0846,0.0748,0.0638,0.0511,0.0393,0.0314,0.0239,0.0161,0.0156
-25.176,0.1781,0.1376,0.1271,0.1238,0.1132,0.0934,0.0849,0.0752,0.0637,0.052,0.0393,0.0313,0.024,0.0159,0.0162
-24.862,0.178,0.1381,0.1305,0.1232,0.1138,0.0935,0.0849,0.0752,0.0641,0.052,0.0394,0.0314,0.0237,0.0161,0.0171
-24.547,0.1781,0.1386,0.1313,0.1216,0.1138,0.0937,0.0853,0.0754,0.0644,0.0522,0.0395,0.0315,0.0243,0.0161,0.0166
-24.232,0.1784,0.1389,0.1315,0.1193,0.1138,0.0944,0.0856,0.0759,0.0647,0.0518,0.04,0.0315,0.0238,0.0159,0.0161
